symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days,iv_ratio
ACHC,196.0,,,21.06,1944357691.0,0.7548,95.0,0.5627,93.0,0.6025,89.0,0.5996,89.0,0.5968,88.0,0.5778,93.0,0.5266,92.0,0.6483,98.0,0.6512,98.0,0.654,98.0,20260116.0,35.0,245.0,1.086057371581054
ACHR,196.0,,,8.25,5321464368.0,0.2823,2.0,0.4106,2.0,0.6097,12.0,0.6092,6.0,0.6087,5.0,0.8539,50.0,0.6962,35.0,0.7581,36.0,0.7527,18.0,0.7473,6.0,20270115.0,7.0,609.0,1.2355548260013134
ACHV,184.0,,,3.28,167624399.0,0.5797,61.0,0.773,80.0,1.013,36.0,,,,,1.0723,99.0,0.8504,94.0,1.6529,85.0,,,,,20251219.0,35.0,217.0,
ACI,246.0,,,18.55,10385143170.0,0.1891,16.0,0.1951,13.0,0.2559,9.0,0.2631,6.0,0.2703,7.0,0.2791,14.0,0.2303,13.0,0.2036,5.0,0.2503,3.0,0.297,5.0,20270115.0,7.0,609.0,0.951349296845306
ACIC,196.0,,,10.78,525689921.0,0.4305,67.0,0.358,50.0,0.4735,30.0,0.5044,32.0,0.5353,32.0,0.3326,12.0,0.3419,12.0,0.414,7.0,0.4094,2.0,0.4049,3.0,20251121.0,35.0,189.0,0.8116574147501983
ACIO,,,,42.76,,0.0581,,0.0528,,,,,,,,0.1334,,0.108,,,,,,,,20251121.0,35.0,189.0,
ACIU,182.0,,,2.4,241440010.0,0.8675,79.0,0.7317,70.0,,,,,,,0.664,36.0,0.7085,39.0,,,,,,,20251121.0,35.0,189.0,
ACIW,196.0,,,50.09,5168887296.0,0.2192,34.0,0.2427,36.0,0.302,32.0,0.279,20.0,0.2561,12.0,0.3844,71.0,0.3182,61.0,0.3114,40.0,0.3283,50.0,0.3451,60.0,20251121.0,35.0,189.0,1.1767025089605734
ACLS,213.0,,,83.28,2616565954.0,0.1968,5.0,0.2677,6.0,0.4843,39.0,0.4508,25.0,0.4174,15.0,0.5672,60.0,0.487,52.0,0.5007,45.0,0.4884,38.0,0.476,31.0,20251219.0,35.0,217.0,1.0834072759538598
ACLX,196.0,,,72.71,4032416568.0,0.2108,6.0,0.3494,6.0,0.4357,4.0,0.4549,4.0,0.4741,9.0,0.5341,42.0,0.6016,63.0,0.4951,1.0,0.498,1.0,0.5008,2.0,20251219.0,35.0,217.0,1.094746098043526
ACM,220.0,,,125.43,16612701820.0,0.1845,28.0,0.1826,22.0,0.1957,4.0,0.2,4.0,0.2044,5.0,0.234,18.0,0.226,30.0,0.2342,6.0,0.2322,3.0,0.2302,2.0,20260417.0,35.0,336.0,1.1609999999999998
ACMR,197.0,,,28.06,1800918826.0,0.3566,28.0,0.4142,38.0,0.529,44.0,0.5331,44.0,0.5372,44.0,0.7001,47.0,0.5625,62.0,0.5733,45.0,0.5821,44.0,0.5909,44.0,20270115.0,35.0,609.0,1.0919152129056462
ACN,175.0,,,243.11,152146017902.0,0.2259,59.0,0.2905,84.0,0.3574,85.0,0.355,84.0,0.3526,83.0,0.3113,77.0,0.2411,72.0,0.3011,83.0,0.3346,88.0,0.3681,89.0,20270115.0,7.0,609.0,0.9425352112676058
ACNB,231.0,,,44.87,475850826.0,0.1829,10.0,0.1605,2.0,0.2858,7.0,0.306,8.0,0.3262,28.0,0.26,1.0,0.2717,1.0,0.2647,8.0,0.2954,16.0,0.3262,46.0,20260116.0,35.0,245.0,0.965359477124183
ACNT,491.0,,,12.14,113727523.0,0.2004,25.0,0.2349,10.0,,,,,,,0.2508,2.0,0.2918,2.0,,,,,,,20251219.0,35.0,217.0,
ACR,190.0,,,21.01,156026775.0,0.1104,3.0,0.1868,12.0,,,,,0.709,94.0,0.3639,49.0,0.3704,59.0,,,,,0.709,98.0,20251121.0,35.0,189.0,
ACRE,211.0,,,4.85,266776185.0,0.4443,90.0,0.3311,85.0,0.3782,69.0,,,,,0.4578,93.0,0.3907,93.0,0.3782,78.0,,,,,20251121.0,35.0,189.0,
ACRS,196.0,,,2.04,220997276.0,0.432,30.0,0.5401,33.0,0.824,37.0,0.8385,41.0,0.853,45.0,0.6155,36.0,0.7005,60.0,0.924,60.0,0.8885,61.0,0.853,55.0,20251219.0,35.0,217.0,1.0596302921884315
ACT,219.0,,,38.69,5707006937.0,0.1389,18.0,0.1828,35.0,0.2046,10.0,,,,,0.2373,45.0,0.2337,47.0,0.2621,20.0,,,,,20260116.0,35.0,245.0,
